Posted on: 2023-01-17; at: 17:00,AZURE,"Learn the fundamentals of #Kubernetes to operate applications at scale with ease.

Tune in for this interactive webinar to learn the basics, enable faster development, and use containerized workloads: https://t.co/Fjk86ka6mb",2023-01-17 17:00:00+00:00
Posted on: 2023-01-10; at: 20:00,AZURE,"🌅 It’s your time to shine!

Start learning #Azure today with new role-based guides that feature learning courses, certifications, and more: https://t.co/WLfaeL6PAr #DevLearning https://t.co/Pnth7HzITm",2023-01-10 20:00:18+00:00
Posted on: 2023-01-08; at: 18:00,AZURE,"Interact directly with the #Azure Database for MySQL product group through a new series of monthly live webinars! 

Join the upcoming session on January 11 at 7:30 AM PT to learn about migration, get demos of new features, and more: https://t.co/3mvXNBQ7i5",2023-01-08 18:00:00+00:00
Posted on: 2023-01-18; at: 17:30,AZURE_SYNAPSE,"To deliver actionable insights you need an #analytics foundation that brings all your #data together in a cohesive view.

Join our webinar on February 21 to learn how to drive innovation and modern analytics in your business: https://t.co/ow4bZAfRxx

#DataGovernance #AzureSynapse",2023-01-18 17:30:01+00:00
Posted on: 2022-12-29; at: 16:58,AZURE_SYNAPSE,"#AzureSynapse community and #SynapseInfluencers: comment below 👇 to let us know some of your top highlights and lessons learned in 2022. 

Maybe you gained a new skill, earned a new certification, or attended your first community event. We want to hear it!

#Data #Analytics",2022-12-29 16:58:55+00:00
Posted on: 2022-12-16; at: 16:00,AZURE_SYNAPSE,Relive our first-ever in-person #SynapseInfluencers Ask The Experts session live from #PASSDataCommunitySummit! Watch the recorded session with @bobwardms and @SQLBoyWonder where they answer #AzureSynapse-related questions from conference attendees: https://t.co/2UkXE3DAvI,2022-12-16 16:00:01+00:00
Posted on: 2022-12-13; at: 18:19,AZURE_SYNAPSE,"In this month's MVP series video, @RMajidimehr is joined by two MVPs, @victoria_holt and @MrAndyCutler, to talk about the upcoming #AzureSynapse conference called @datatoboggan: https://t.co/DHRbGzp6wN

#Azure #Analytics #DataToboggan",2022-12-13 18:19:39+00:00
Posted on: 2022-11-18; at: 17:39,AZURE_SYNAPSE,"💻📢 Join us on December 6 for our Unlock Innovation with #Analytics webinar where we will be discussing how the #Microsoft Intelligent Data Platform can help you build an enduring, modern #data and analytics ecosystem: https://t.co/9PW7BFDDSg",2022-11-18 17:39:20+00:00
Posted on: 2022-11-18; at: 00:27,AZURE_SYNAPSE,"Thanks to our speakers @bobwardms and @SQLBoyWonder for a great Ask the Experts session, and a special thank you to all of our attendees for making this first in-person event a success!

If you're not already signed up, become a #SynapseInfluencer today: https://t.co/dp94SbdVoJ https://t.co/JpA62Q6nSE",2022-11-18 00:27:02+00:00
Posted on: 2022-11-17; at: 21:06,AZURE_SYNAPSE,"👀 Here's a sneak peek of all the #SynapseInfluencers swag we'll be giving away at today's #AzureSynapse Ask the Experts event taking place LIVE at #PASSDataCommunitySummit with @bobwardms and @SQLBoyWonder!

Join us in the #Microsoft booth at 2PM to grab yours! https://t.co/Y4IW4TbEHK",2022-11-17 21:06:01+00:00
Posted on: 2023-01-19; at: 15:51,CLICKHOUSEDB,"Don’t miss our webinar with @dbt_labs on Jan 24! Learn how to combine the strengths of dbt and ClickHouse as well as the best practices and gotchas of using the ClickHouse - dbt connector in production.

https://t.co/8c7aIJ5one",2023-01-19 15:51:27+00:00
Posted on: 2023-01-02; at: 17:07,CLICKHOUSEDB,"Join our webinar on Jan 24th and learn how to use @getdbt to transform data in ClickHouse. We will cover best practices for using the ClickHouse - dbt connector in production with plenty of time for Q&amp;A. 

https://t.co/UW5ninMDZL",2023-01-02 17:07:51+00:00
Posted on: 2022-12-14; at: 15:38,CLICKHOUSEDB,"grace_hash JOINs, configurable password complexity, experimental deduplication on async inserts…and more! It’s a holiday celebration on tomorrow’s ClickHouse release webinar. Register now for the event and bring your questions.

https://t.co/sGnXibar2V",2022-12-14 15:38:50+00:00
Posted on: 2022-11-09; at: 18:27,CLICKHOUSEDB,"22.11 is almost here! Join us for a release webinar on November 17 and hear from Alexey directly. The calls are always exciting, and the community chat and Q&amp;A lively. Come prepared with your questions for the team.

https://t.co/7xupyneFF3 https://t.co/jEpUTUmxMY",2022-11-09 18:27:29+00:00
Posted on: 2023-01-25; at: 22:05,CONFLUENTINC,"🤔 What is a Kafka Consumer? 
Producers write events to Apache Kafka, while consumers read and process these events. @TheDanicaFine explains how consumers work and how to configure them.  
Check out the full #KafkaOnTheGo series → https://t.co/R6JeVZllIf https://t.co/xrEivKusN8",2023-01-25 22:05:05+00:00
Posted on: 2023-01-24; at: 13:31,CONFLUENTINC,"Registration for #KafkaSummit London 2023 is open! 🎊
Get ready to join the @apachekafka community to share best practices, learn how to build next-gen systems, and discuss the future of event streaming!
Take advantage of early bird pricing. 👉 https://t.co/2jdcURnwRE https://t.co/pLcraQNPFa",2023-01-24 13:31:48+00:00
